,line_text,speaker,temporada,episodio
6278,No!,Dwight,Season 2,2x12
6279,Give the bottle to Michael!,Jim,Season 2,2x12
6280,I'm thirsty!,Dwight,Season 2,2x12
6281,Give it to me.,Michael,Season 2,2x12
6282,No.,Dwight,Season 2,2x12
6283,Dwight... [to Jim] You just keep your eyes on the road. [to Dwight]  Give me the bottle or you're fired.,Michael,Season 2,2x12
6284,"You can't fire me, I don't work in this van!",Dwight,Season 2,2x12
6285,Give it to me Dwight.,Michael,Season 2,2x12
6286,No. [takes a drink],Dwight,Season 2,2x12
6287,Give me the bottle!!,Michael,Season 2,2x12
6288,[to Michael] Will you stop?,Jim,Season 2,2x12
6289,"Gimme the bottle, Dwight!",Michael,Season 2,2x12
6290,Michael stop.,Jim,Season 2,2x12
6291,[drinks] Mmmmm...,Dwight,Season 2,2x12
6292,Just give it!,Michael,Season 2,2x12
6293,"Michael stop. [sprays Michael, then Dwight]",Jim,Season 2,2x12
6294,"Stop, stop it! Stop spraying! [Dwight whines] Gimme the bottle!",Michael,Season 2,2x12
6295,Stop [sprays Michael],Jim,Season 2,2x12
6296,My eyes!,Dwight,Season 2,2x12
6297,Stop spraying me!  Gimme the bottle!,Michael,Season 2,2x12
6298,My eyes!,Dwight,Season 2,2x12
6299,"Dwight, what is your middle name.",Michael,Season 2,2x12
6300,Danger.,Dwight,Season 2,2x12
6301,[sigh] Something with a 'K'.,Michael,Season 2,2x12
6302,"It's Kurt.  Wow, I am so sad that I know that.",Jim,Season 2,2x12
6303,What do I write under 'reason for visit'?,Michael,Season 2,2x12
6304,Concussion. [Michael scribbles something out] What did you write?,Jim,Season 2,2x12
6305,Nothing.  I wrote 'bringing someone to the hospital'.,Michael,Season 2,2x12
6306,So you thought they meant your reason for coming to the hospital.,Jim,Season 2,2x12
6307,"No... you know what Jim, this isn't about me anymore.  I made a miraculous recovery, which is more than I can say for him. [Dwight falls towards Jim]",Michael,Season 2,2x12
6308,Come on Dwight. [sprays Dwight],Jim,Season 2,2x12
6309,Hi Michael!,Dwight,Season 2,2x12
6310,Hi Dwight.,Michael,Season 2,2x12
6311,Ahhh.  Mweehaa,Dwight,Season 2,2x12
6312,"Doctor, what is more serious, a head injury or a foot injury?",Michael,Season 2,2x12
6314,"Well, you don't have all the information. The foot as been fairly severely burned and healed quickly, very quickly, actually like suspiciously quickly.",Michael,Season 2,2x12
6316,What is that?,Dwight,Season 2,2x12
6317,"Look since you have the machine up and running, can I just stick my foot, we take a look?",Michael,Season 2,2x12
6319,"Ok, what kinda machine is that?",Michael,Season 2,2x12
6321,That's what she said.,Dwight,Season 2,2x12
6322,"That's my joke, damnit Dwight.",Michael,Season 2,2x12
6324,"It's ok, they're with me.",Michael,Season 2,2x12
6326,"Alright, well, I guess this is where we leave you off.",Michael,Season 2,2x12
6327,I don't want to do this.,Dwight,Season 2,2x12
6328,"Uh, well you should of thought of before you crashed your head on your way to pick me up.  We'll, see you when you get out.",Michael,Season 2,2x12
6329,Oh.,Dwight,Season 2,2x12
6330,Fine. Fine.,Michael,Season 2,2x12
6331,"Dunder Mifflin, this is Pam.",Pam,Season 2,2x12
6332,"Dunder Mifflin, this is Jim.",Jim,Season 2,2x12
6333,"Oh my God, what is going on, is Dwight ok?",Pam,Season 2,2x12
6334,"Uh hmm, he should be fine, but, uh, they brought him in for a CAT scan.",Jim,Season 2,2x12
6335,I can't believe he's getting a CAT scan.,Pam,Season 2,2x12
6336,Michael went in there with him too.  It's pretty sweet.,Jim,Season 2,2x12
6337,Really? Michael went in with him?,Pam,Season 2,2x12
6338,Uh huh.,Jim,Season 2,2x12
6339,Wow.,Pam,Season 2,2x12
6340,"But they shouldn't be much longer now, so we'll be back soon.",Jim,Season 2,2x12
6341,"Ok, that's uh, good news [Pam sees Angela eavesdropping] Uh, yeah, no I'll let you go.",Pam,Season 2,2x12
6342,Ok.,Jim,Season 2,2x12
6343,Ok. Bye.,Pam,Season 2,2x12
6344,Bye.,Jim,Season 2,2x12
6345,"Hey, Oscar?",Pam,Season 2,2x12
6347,"I just wanted to let you that Dwight's gonna be ok.  The doctor said there's a really simple treatment for a concussion, so he'll probably even be back at work tomorrow.",Pam,Season 2,2x12
6349,"I just, uh, thought you'd want to know that.",Pam,Season 2,2x12
6352,"Uh, that's what she said.  See, haven't lost my sense of humor.  No, no need, it was a non-stick grill.",Michael,Season 2,2x12
6353,"I've had a Foreman grill for about six years, I've done about 85% of my cooking on it, but I've never burnt myself, probably because I don't use it as a pillow.",Jim,Season 2,2x12
6354,"I always keep a stash of bubble wrap at my house.  Some days, hectic, tiring days, I just like to go home and zone out and click on the tube and pop a few.  Very soothing.  [to the interviewer] Want to try?",Michael,Season 2,2x12
6355,"You know, that's probably not gonna last too long, you should go to a hospital and get a real cast.",Jim,Season 2,2x12
6356,"Right, I'm gonna spend the day in the hospital, bujehh.  Bureaucracy and germs.",Michael,Season 2,2x12
6357,And doctors.,Jim,Season 2,2x12
6358,"Yes, so, no thank you.",Michael,Season 2,2x12
6359,Pssht.,Dwight,Season 2,2x12
6360,What?,Michael,Season 2,2x12
6361,"Constructing a home-made cast?  Genius.  Filled with foresight.  Like in the pioneer times, if you lost a leg, they would then use the bone of the leg for a cane.  They wasted nothing.",Dwight,Season 2,2x12
6362,"Wow, I don't want to hear... you talk.  Pam, could I have a word with you in my office?  [stumbling] Oh, oh, oh.  Alright.",Michael,Season 2,2x12
6366,"Yeah, I've been sayin that.",Michael,Season 2,2x12
6368,Did you know I used to be in HR?,Michael,Season 2,2x12
6370,I used to be in HR.  I was a Hell raiser.,Michael,Season 2,2x12
6372,Right? [laughs],Michael,Season 2,2x12
6374,Alright. Movin' on.,Michael,Season 2,2x12
6376,"Ry-an.  You're here.  Whatcha got, whatcha got?  Alright, Panic Room, Maverick, Nell, Sommersby, The Accused.  Where's Little Man Tate?",Michael,Season 2,2x12
6378,Oh come on.,Michael,Season 2,2x12
6380,"Oh man.  It's not a Jodie Foster afternoon without Little Man Tate, buddy.",Michael,Season 2,2x12
6381,"Mmm, I'm telling you the best cure in the world is comfort food.  You know how they say 'stuff a cold'?  Well I don't care you've got, the flu, Lyme disease, emphysema, you eat an entire dark meat chicken, you can walk on the moon.",Michael,Season 2,2x12
6382,"Look, I feel fine.  As a volunteer sheriff's deputy I have been trained to notice all the signs of a concussion.  One of them is slurred speech, ok?  Number three, shortness of breath.  There are four things you have to remember.  One: I am faster than 80% of all snakes.  Also.",Dwight,Season 2,2x12
6384,"Into a machine?!  Ok. Uh, that's bad, will you stay with me?",Dwight,Season 2,2x12
6385,No.,Michael,Season 2,2x12
6386,"Ok, will you please call my cousin Mose?",Dwight,Season 2,2x12
6387,"No, I'm not calling your weirdo cousin.  Twenty-seven years old, never left the beet farm.",Michael,Season 2,2x12
6388,Oh God.  Oh God.,Dwight,Season 2,2x12
6389,Guh-od.,Michael,Season 2,2x12
6390,Oh God.,Dwight,Season 2,2x12
6391,"Ok, I'll stand near you.",Michael,Season 2,2x12
6392,Next to me?,Dwight,Season 2,2x12
6393,Next-ish.,Michael,Season 2,2x12
6394,I'm gonna pull the car around.,Jim,Season 2,2x12
6395,Shh shh shh shh.,Michael,Season 2,2x12
6396,Do you speak Spanish?,Jim,Season 2,2x12
6397,No. Do you?,Michael,Season 2,2x12
6398,"No, I don't.",Jim,Season 2,2x12
6399,Not much what's up with you?,Jim,Season 2,2x13
6400,"Oh, I can not believe I fell for that. [laughing] Oh, my God.",Pam,Season 2,2x13
6401,"Ah, ah, ah, what? What? Where's the funny? Give it to me.",Michael,Season 2,2x13
6402,"Umm, is it me or does it smell like up-dog in here?",Jim,Season 2,2x13
6403,What's up-dog?,Michael,Season 2,2x13
6404,Nothin' much what's up with you?,Jim,Season 2,2x13
6405,"Oh, oh, wow! I walked right into that. Oh, that's brilliant!",Michael,Season 2,2x13
6406,"Hey, Stanley, is that jacket make of up-dog?",Michael,Season 2,2x13
6408,"Mmm, what flavour coffee is that?  Up-dog?",Michael,Season 2,2x13
6410,"I don't know, nothin', what's up with you?",Michael,Season 2,2x13
6412,"[low] No, damn it!",Michael,Season 2,2x13
6414,What does what mean?,Michael,Season 2,2x13
6416,Just forget it.,Michael,Season 2,2x13
6417,Dwight! Hey is it me or does this place smell like up-dog?,Michael,Season 2,2x13
6418,What's up-dog?,Dwight,Season 2,2x13
6419,"Gotcha! [laughing] Oh, God. [low] Crap! Nothin' how ya doing?",Michael,Season 2,2x13
6420,Good. How are you doing?,Dwight,Season 2,2x13
6421,[mouthing] So close.,Jim,Season 2,2x13
6422,[low] Damn it.,Michael,Season 2,2x13
6423,"Today is spring cleaning day here at Dunder Mifflin. And yes I know its January. I am not an idiot. But, if you do your Spring cleaning in January; guess what you don't have to do in the spring?  Anything.  They say a cluttered desk means a cluttered mind.  Well I say that an empty desk means a...",Michael,Season 2,2x13
6424,Empty mind.,Dwight,Season 2,2x13
6425,"No, that's not... no, that's not what I was going to say.",Michael,Season 2,2x13
6426,"Meredith, men's room. Make sure you replace the urinal cakes.  They're worn down. Kevin file drawers. Angela kitchen. Oscar dusting. Where is Oscar?",Dwight,Season 2,2x13
6428,That's unacceptable.,Dwight,Season 2,2x13
6431,Michael.,Dwight,Season 2,2x13
6432,Yes.,Michael,Season 2,2x13
6433,Oscar is out sick.,Dwight,Season 2,2x13
6434,On a Friday? [Dwight nods],Michael,Season 2,2x13
6435,Can I do some of the talking?,Dwight,Season 2,2x13
6436,I will do all the talking.,Michael,Season 2,2x13
6437,"Ok, let him know that I'm here.",Dwight,Season 2,2x13
6439,What difference does it make whether your here?,Michael,Season 2,2x13
6441,"Hi, Oscar its Michael.",Michael,Season 2,2x13
6442,And Dwight.,Dwight,Season 2,2x13
6443,"Yechh, yeah, um, heard you were under the weather?",Michael,Season 2,2x13
6445,"Really? Oh, that is a shame.  You know it's cleaning day here today? Could have used some of that famous Hispanic cleaning ethic.",Michael,Season 2,2x13
6447,Ask him his symptoms. I'm on Web M.D.,Dwight,Season 2,2x13
6448,What are your symptoms?,Michael,Season 2,2x13
6450,"Umm, hmmm.",Michael,Season 2,2x13
6452,Checks out.,Dwight,Season 2,2x13
6454,I need you to go back to bed. I need you to get better. See you Monday.  Unless you're still sick.  So have a great long weekend.,Michael,Season 2,2x13
6456,Ok. First impressions?,Dwight,Season 2,2x13
6457,He sounded sick.,Michael,Season 2,2x13
6458,Which is exactly how you'd wanna sound like if you wanted someone to think you were sick.,Dwight,Season 2,2x13
6459,That's exactly what I was thinking.,Michael,Season 2,2x13
6460,Question? May I investigate?,Dwight,Season 2,2x13
6461,Yeah. Drop what you're doing. Make this a priority. Because an office can't function efficiently unless people are at their desks doing their jobs.,Michael,Season 2,2x13
6462,I bought my veil.,Pam,Season 2,2x13
6464,Ummm...,Pam,Season 2,2x13
6466,"Ok. I was thinking about wearing it down. Kind of like, I don't know, like loose with big curls and...",Pam,Season 2,2x13
6468,"Wowweee. Mikey likey. Why don't you wear your hair like that all the time.  It's much sexier. [Pam puts hair back up] [Michael walks by Jim] Man, this must be torture for you.",Michael,Season 2,2x13
6469,Yeah. On the booze cruise I told Michael about some feelings I used to have for Pam. I had just broken up with Katy and had a couple drinks. And I confided in the world's worst confidant.,Jim,Season 2,2x13
6470,Hey Michael.,Jim,Season 2,2x13
6471,Hey Jim-bag.,Michael,Season 2,2x13
6472,Remember that thing I told you on the booze cruise about Pam? That... was... personal so if we can just keep that between you and me. That would be great.,Jim,Season 2,2x13
6473,Really?,Michael,Season 2,2x13
6474,"Umm, hmm.",Jim,Season 2,2x13
6475,Who else knows?,Michael,Season 2,2x13
6476,Nobody.,Jim,Season 2,2x13
6477,Wow!,Michael,Season 2,2x13
6478,"Jim and I are great friends. We hang out a ton, mostly at work. But, the fact that he told me his secret and no one else knows says everything about our friendship.  And it is why, I intend on keeping that secret for as long as I possibly can.",Michael,Season 2,2x13
6479,My lips are sealed. [singing] My lips are sealed... Bangles.,Michael,Season 2,2x13
6480,Alright. Great. Thank you.,Jim,Season 2,2x13
6481,"[singing] Can you hear me, they talk about us...",Michael,Season 2,2x13
6482,Listen Temp. I am conducting a little investigation so I'm no longer going to be able to head up spring cleaning.  Do you think you can handle it?,Dwight,Season 2,2x13
6484,Do you,Dwight,Season 2,2x13
6486,"[low] Oh God, here.",Dwight,Season 2,2x13
6487,"Hey, whatcha gettin'?",Michael,Season 2,2x13
6488,I'm going with grape.,Jim,Season 2,2x13
6489,"Ah, good stuff, good stuff. Did you see the game last night?",Michael,Season 2,2x13
6490,Which one?,Jim,Season 2,2x13
6491,"Any of em?  So, uh, what's the 411? Any news on the 'P' situation?",Michael,Season 2,2x13
6492,I don't know what you mean.,Jim,Season 2,2x13
6493,P-A-M. P-A,Michael,Season 2,2x13
6494,"Uh, uh, ok.",Jim,Season 2,2x13
6495,"No it's okay, we're talking code.",Michael,Season 2,2x13
6497,Listen Stanley. How long does it take you to pick out a soda?,Michael,Season 2,2x13
6498,I'm going to take off actually.,Jim,Season 2,2x13
6499,"Alright, well, cool. [Michael walks by Jim] Still deciding?",Michael,Season 2,2x13
6501,[Michael presses a button for Stanley] Peach iced tea. You're going to hate it.,Michael,Season 2,2x13
6502,"Hey Oscar how ya doin'? Dwight Schrute calling.  Listen a little question for you, buddy.  I called six minutes ago and no one answered. So I was wondering if you could explain. Oh, I see, so. Sounds like you're too sick to come into work but your well enough to go to the pharmacy.",Dwight,Season 2,2x13
6503,"There are several different ways to tell if a perp is lying. The liar will avoid direct eye contact. The liar will cover part of his or her face with his hands, especially the mouth.  The liar will perspire.  Unfortunately I spoke to Oscar on the phone so none of this is useful.",Dwight,Season 2,2x13
6504,It's Grrrrrrape! Soda.,Michael,Season 2,2x13
6505,Tony the tiger.  You don't hear that much any more.,Jim,Season 2,2x13
6506,Not so much.,Michael,Season 2,2x13
6507,"Ok, what is going on here?",Dwight,Season 2,2x13
6508,Nothing.,Michael,Season 2,2x13
6509,"Oh, really nothing? Fact: You are drinking grape soda. You never drink grape soda.  Fact: You are talking to Jim. You never talk to Jim.",Dwight,Season 2,2x13
6510,Fact: I love grape soda. I always have. Fact: Jim and I talk all the time. We tell each other secrets.,Michael,Season 2,2x13
6511,Ok. So what is the secret Michael?,Dwight,Season 2,2x13
6512,"Um, I had asked Michael if I could head up the Oscar investigation and he said that only Dwight was capable of handling such sensitive material.",Jim,Season 2,2x13
6513,Is that true?,Dwight,Season 2,2x13
6514,"Um, I don't know, yeah, yeah, yeah it is.",Michael,Season 2,2x13
6515,Thank you Michael.  I know your telling the truth.,Dwight,Season 2,2x13
6516,Ok.,Michael,Season 2,2x13
6517,I can tell. I won't let you down.,Dwight,Season 2,2x13
6518,Good.,Michael,Season 2,2x13
6519,Thanks.,Jim,Season 2,2x13
6520,"Whooo, nice. That was, that was slick.  What are you doin' for lunch?",Michael,Season 2,2x13
6521,I don't know probably just gonna eat my ham and cheese sandwich in the break room.,Jim,Season 2,2x13
6522,"Oh nonsense [lifts leg and puts it on Jim's desk], no way, no. Why don't, why don't I take you out to lunch? My treat.",Michael,Season 2,2x13
6523,"No, that's alright, thank you though. It's, I, gotta do some cleaning, should probably stick around here.",Jim,Season 2,2x13
6524,Hey you know what we could do? We could spread out a blanket in the break room.  Have a little picnic order some 'za. Talk about you know who.,Michael,Season 2,2x13
6525,"Oh, ah, no but no. You know what let's go out. That was a good idea.  Let's go out.",Jim,Season 2,2x13
6526,I know just he place.,Michael,Season 2,2x13
6527,"[at Hooters] Oh man, you should order milk. Get it?",Michael,Season 2,2x13
6528,"Why do I like Hooters? Well I will give you two reasons, the boobs and the hot wings.",Michael,Season 2,2x13
6529,"Oh, here we go, here we go. Bogy at 3 o'clock. Hi.",Michael,Season 2,2x13
6531,"We're not worthy. We're not worthy. Hello Dana, I am Michael and this is Jim and we are brothers.",Michael,Season 2,2x13
6532,Nope we're not brothers.,Jim,Season 2,2x13
6533,I'm his boss actually.  And I treat him well. I'm taking him out to lunch cause I can afford it and he can have whatever he wants.,Michael,Season 2,2x13
6534,"Can I just have the ham and cheese sandwich, thanks.",Jim,Season 2,2x13
6536,"Tell me Dana, how is your chicken breast?",Michael,Season 2,2x13
6538,"Mmmm, sounds yummy.  I will have a chicken breast hold the chicken. [Giggles]",Michael,Season 2,2x13
6540,"No, I'm gonna have the gourmet hot dog.",Michael,Season 2,2x13
6542,Who took all the black ones?,Dwight,Season 2,2x13
6543,That's a communal bowl.,Pam,Season 2,2x13
6544,"So, how did Oscar sound when he called in?",Dwight,Season 2,2x13
6545,"Sick, like lots of sniffling. I don't know.",Pam,Season 2,2x13
6546,Sniffling how?,Dwight,Season 2,2x13
6547,Umm. How many different ways are there to sniffle?,Pam,Season 2,2x13
6548,Three.,Dwight,Season 2,2x13
6549,"Ok, it was the second one.",Pam,Season 2,2x13
6550,"Ok, good, thank you.  That wasn't so hard now was it?",Dwight,Season 2,2x13
6551,Nuh-uh.,Pam,Season 2,2x13
6552,What do you like best about Pam?,Michael,Season 2,2x13
6553,"Uh, I really don't want to talk about it.",Jim,Season 2,2x13
6554,"Is it her boobs, or...",Michael,Season 2,2x13
6555,"Um, she's easy to talk to I guess and she's got a really good sense of humor.",Jim,Season 2,2x13
6556,Really?,Michael,Season 2,2x13
6557,Uh-huh.,Jim,Season 2,2x13
6558,Never get's any of my jokes.,Michael,Season 2,2x13
6559,What about you?,Jim,Season 2,2x13
6560,"Her boobs, definitely.",Michael,Season 2,2x13
6561,"Wow, that's not what I meant.",Jim,Season 2,2x13
6563,"Oh, thank you.",Michael,Season 2,2x13
6565,Ohhh happy birthday Jim!,Michael,Season 2,2x13
6568,Thank you.,Jim,Season 2,2x13
6569,Woo! Yeah!,Michael,Season 2,2x13
6570,"Thanks, thanks Dana.",Jim,Season 2,2x13
6571,Thank you very much.,Michael,Season 2,2x13
6572,Hilarious. Hey.,Michael,Season 2,2x13
6573,What did you guys talk about?,Pam,Season 2,2x13
6574,"[Holds up Hooters t-shirt] Just you know politics, literature.",Jim,Season 2,2x13
6575,I hate you.,Pam,Season 2,2x13
6576,Quick Oscar update. I have conducted interviews with everyone in the office.,Dwight,Season 2,2x13
6577,Just go to his house and see if he's sick. I could have done this Investigation in like twenty minutes.,Michael,Season 2,2x13
6578,Including prep time?,Dwight,Season 2,2x13
6579,Just do it.,Michael,Season 2,2x13
6581,[Michael messes up hair to look like Jim's] Expenses.,Michael,Season 2,2x13
6583,No. It's... I wear it like that sometimes. Is that a wig?,Michael,Season 2,2x13
6586,"Yeah, it's a business lunch.",Michael,Season 2,2x13
6588,No he did not. I don't need his permission.,Michael,Season 2,2x13
6590,"Uhhh it's ridiculous. They took my card away because I spent $80 bucks at a magic shop. What they don't understand is that I bought the stuff to impress potential clients. So business related, right?",Michael,Season 2,2x13
6591,I put a cigarette through a freakin' quarter.  And you know what Toby? They almost bought from us.,Michael,Season 2,2x13
6593,"Look Jim needed a relaxing lunch, he has been depressed and it has been affecting his productivity.  How is that not work related?",Michael,Season 2,2x13
6595,"You're not his friend, you don't know. He is in love with a girl he works with who's engaged.  So just cut me some slack. Please?",Michael,Season 2,2x13
6602,"You know what Kevin? Jim is a friend of mine, so the only people that this crush really concerns is Jim and Pam... and me.",Michael,Season 2,2x13
6603,"As a volunteer Sheriff's Deputy I have been doing surveillance for years.  One time I suspected an ex-girlfriend of mine of cheating on me.  So I tailed her for six straight nights.  Turns out she was, with a couple of guys actually so... mystery solved.",Dwight,Season 2,2x13
6605,Well the cats out of the bag. I used to have a crush on Pam and now I [hesitate] don't. Riveting.,Jim,Season 2,2x13
6607,Hey.,Pam,Season 2,2x13
6608,Hey.,Jim,Season 2,2x13
6609,Did you find anything good in your desk?,Pam,Season 2,2x13
6610,"Ah, coupon for a free sandwich.",Jim,Season 2,2x13
6611,Score.,Pam,Season 2,2x13
6612,"It expired in August, and my cell phone charger from two years ago.",Jim,Season 2,2x13
6613,Big day.,Pam,Season 2,2x13
6614,Big day.,Jim,Season 2,2x13
6615,"Hey oh, listen, um, I told Michael on the booze cruise. It's so stupid. Um, I told Michael that I had had a crush on you when you first started here.",Jim,Season 2,2x13
6616,Oh.,Pam,Season 2,2x13
6617,"Well I thought that, I figured you should hear it from me rather than, I mean you know Michael.",Jim,Season 2,2x13
6618,Right.,Pam,Season 2,2x13
6619,"And seriously, it's totally not a big deal, ok? And when I found out you were engaged, I mean.",Jim,Season 2,2x13
6620,"No, I know, like, I kind of like, I thought that maybe you did when I first started.",Pam,Season 2,2x13
6621,Oh you did?,Jim,Season 2,2x13
6622,"No, I mean, just 'cause we like got along so well.",Pam,Season 2,2x13
6623,"No, no, you saw through me, great.",Jim,Season 2,2x13
6624,So are you going to be like totally awkward around me now?,Pam,Season 2,2x13
6625,"Oh yeah, yeah... hope that's okay.",Jim,Season 2,2x13
6626,"Mmm, hmm.",Pam,Season 2,2x13
6627,And Pam it was like three years ago so I am totally over it.,Jim,Season 2,2x13
6628,Cool.,Pam,Season 2,2x13
6629,Ok.,Jim,Season 2,2x13
6630,"Stay low... This is it... There he is. He's been gone for at least two hours. Who is that? Come to Papa... Oh yes. Let's roll. I knew it! You are so busted. Ice skates, shopping bags? I think I know what's going on here. You weren't sick at all.",Dwight,Season 2,2x13
6632,This is Dwight Schrute. Who is this?,Dwight,Season 2,2x13
6635,How bout this. I don't tell Michael and in exchange you owe me one great big giant favor.  Redeemable by me at a time and place of my choosing.,Dwight,Season 2,2x13
6636,"Guess what I found out about Oscar tonight? He was lying about being sick. Should I have reported Oscar's malfeasance. Hmm, probably, but now I know something he doesn't want me to know. So I can use his malfeasance to establish leverage.  Otherwise, it's just malfeasance for malfeasanceses-ses sake.",Dwight,Season 2,2x13
6637,Hey.,Jim,Season 2,2x13
6638,"I know, I know, I know.",Michael,Season 2,2x13
6639,"Umm, what happened?",Jim,Season 2,2x13
6640,"I, oh, just, um, I know I was trying to, expense reports. And then God, Toby, you know he just... I know. I'm just, I just hope that, I just hope that [starts to get choked up] this doesn't affect our friendship! Stupid, this is so stupid.",Michael,Season 2,2x13
6641,"Hey, hey, wow, wow. Listen man it's, you know what. It's not a big deal.",Jim,Season 2,2x13
6642,"Ok, I'm fine, no I know, I'm good, I'm good, it's just.",Michael,Season 2,2x13
6643,"Look its one day, everything's gonna be alright. No big deal. You good?",Jim,Season 2,2x13
6644,Yeah I'm good.,Michael,Season 2,2x13
6645,Good.,Jim,Season 2,2x13
6650,"Hey, here's your schedule for next week. Are you okay?",Pam,Season 2,2x13
6651,"Yeah I'm fine. Look, about you and Jim.",Michael,Season 2,2x13
6652,"Oh, no, that's, you don't have to.",Pam,Season 2,2x13
6653,"No, I feel it's my responsibility as your boss slash friend.",Michael,Season 2,2x13
6654,"No, really, it's okay. I know that Jim had, like a crush on me when he first started. But that was a long time ago, so.",Pam,Season 2,2x13
6655,It wasn't that long ago. It was on the booze cruise.,Michael,Season 2,2x13
6656,Jim had a crush on me on the booze cruise or he told you about it on the booze cruise?,Pam,Season 2,2x13
6657,"Yehhh, okay, shuuttt it Michael. I'm done. That's it. I'm out.",Michael,Season 2,2x13
6658,Ready?,Jim,Season 2,2x13
6659,Yep.,Pam,Season 2,2x13
6660,"People are always coming to me. 'Michael, I have a secret.  Your the only one I trust.' No thanks, because keeping a secret can only lead to trouble. Like I was watching Cinemax last weekend.  This movie, Portrait of a... Prostitute something. Secrets of a Call... More Secrets of a Call Girl. And the lead character, Shila, is framed for murder. She goes on the run and winds up working at a bordello in Malibu. I don't, I don't want to live like that. I like it here. I don't want to be Shila, I like being Michael Scott.",Michael,Season 2,2x13
6661,Hello. Pammy want a cracker?,Michael,Season 2,2x13
6662,No thanks. You got a package.,Pam,Season 2,2x13
6663,"Oh, Pam with the dirty talk. [laughs]",Michael,Season 2,2x13
6664,"And he's lining it up. Seems pretty straightforward from here. If Michael Scott sinks it, he'll win a Buick signed by Tiger Woods.",Dwight,Season 2,2x13
6665,Oh!,Michael,Season 2,2x13
6666,"He totally misses,",Dwight,Season 2,2x13
6667,"No, he meant to put it right next to the hole, that's much harder to do.",Michael,Season 2,2x13
6668,"Interception. He shoots, he scores, yeah! Michael, try it like this. This'll be much harder.",Dwight,Season 2,2x13
6669,"No, no, no, no. I don't want to chip my mug. Please get that off the floor. [sets mug on the edge of Michael's desk]",Michael,Season 2,2x13
6670,All right. Jack Nicholson for birdie.,Michael,Season 2,2x13
6671,Jack Nicholas.,Dwight,Season 2,2x13
6672,It's a celebrity tournament.,Michael,Season 2,2x13
6673,[golf ball rolls under bookcase] I got it. No problem. [clears throat],Dwight,Season 2,2x13
6674,Do you see it?,Michael,Season 2,2x13
6675,"Oh, man, it's really back there.",Dwight,Season 2,2x13
6676,Do you feel it?,Michael,Season 2,2x13
6677,Yeah. I can barely...,Dwight,Season 2,2x13
6678,"[mug falls off Michel's desk and smashes on the floor] God... damn it, Dwight! That's great.",Michael,Season 2,2x13
6679,Should I clean out my desk?,Dwight,Season 2,2x13
6680,[pulls a brand new mug out of his desk door] That won't be necessary.,Michael,Season 2,2x13
6681,"Don't be fooled by the phrase 'dust bunnies.' They are vicious little bitches and if they get inside your disc drive, God help you. They will bring your computer to its knees. They sit in corners hatching, defecating, laying eggs. And their sole purpose in life is to eat dead skin, which humans in this office shed by the boat load. Especially Creed.",Dwight,Season 2,2x13
6682,"Look at all them out there, my little worker bees buzzing away.",Michael,Season 2,2x13
6683,"If they're the worker bees, you're the Queen bee.",Dwight,Season 2,2x13
6684,"No, I am the King bee,",Michael,Season 2,2x13
6685,Queen's higher.,Dwight,Season 2,2x13
6686,"No, King is higher. Then Ace. I am the Ace bee.",Michael,Season 2,2x13
6688,Keep. I will finish that later.,Michael,Season 2,2x13
6690,"Yeah, I know when it's from, Ryan.",Michael,Season 2,2x13
6692,"Yeah, I rushed a few fraternities, but you know what? I don't believe in paying for friendships. So, I made a decision not to accept any offers. And fortunately none were made. Which was good, so nobody's feelings got hurt.",Michael,Season 2,2x13
6693,"Temp, shouldn't you be monitoring the progress of people's cleaning efforts?",Dwight,Season 2,2x13
6695,"Yeah. Well, I'd hate to see it blow up in your face.",Dwight,Season 2,2x13
6697,"Let's table that. So, temp... You seem to be pretty close to this Oscar.",Dwight,Season 2,2x13
6699,Getting defensive?,Dwight,Season 2,2x13
6701,You seem a little nervous. You shouldn't be.,Dwight,Season 2,2x13
6702,"Thank you, Dana.",Michael,Season 2,2x13
6704,"Keep the change. Here you go buddy, happy birthday.",Michael,Season 2,2x13
6705,Wow. Thanks.,Jim,Season 2,2x13
6706,You're welcome.,Michael,Season 2,2x13
6707,"No, you what, seriously, you should have it.",Jim,Season 2,2x13
6708,"No, no, no, no. I have the long sleeve. And actually, you know what we should do? We should wear them tomorrow to work, it'll be hysterical.",Michael,Season 2,2x13
6709,"Oh, tomorrow, that's gonna be tough 'cause I already laid out my outfit, so...",Jim,Season 2,2x13
6710,"Okay, Tuesday. Whenever. You'd better try it on, make sure it fits.",Michael,Season 2,2x13
6712,"Oh, nothing.",Jim,Season 2,2x14
6713,"Pam's on vacation and she gets back tomorrow, so it'll be nice to see her.  It'll be nice, and, uh, she set a date for the wedding with Roy.  Uh... June.  Summer.  So, that'll be nice.  And that's that.",Jim,Season 2,2x14
6715,"Oh, nothing.",Jim,Season 2,2x14
6717,Spamster!,Michael,Season 2,2x14
6718,"Um, Pam plus Spam plus...?",Pam,Season 2,2x14
6719,Hamster.,Michael,Season 2,2x14
6720,Right.,Pam,Season 2,2x14
6721,Welcome back!  How was your vacation?,Michael,Season 2,2x14
6722,It was great.,Pam,Season 2,2x14
6723,Yeah?,Michael,Season 2,2x14
6724,Mm-hm.,Pam,Season 2,2x14
6725,Did you get lucky?  Oh!  Boink!,Michael,Season 2,2x14
